Municipality Code,,nochem,croprot,covercrop,apm,noconvtill,directplanting,lowtill ,soil,drip,fert,famlab,lowincome,associated,regtech,credit,offfarminc
4203402, Campo Belo do Sul ,82.52,6.80,1.30,4.58,61.22,17.06,48.47,51.14,0.00,66.46,84.78,43.88,47.02,4.99,33.01,19.00
4203501, Campo Ere,32.96,27.46,6.13,9.05,78.62,92.58,6.71,62.54,100.00,75.38,82.44,57.58,61.71,22.46,48.30,23.10
4203600, Campos Novos ,36.24,29.34,5.25,4.81,80.30,80.84,2.76,86.90,7.69,76.07,84.05,40.51,47.77,21.80,44.05,15.71
4203709, Canelinha ,78.33,9.17,3.66,11.67,17.83,11.63,9.30,64.32,41.67,61.81,91.08,41.12,60.42,7.08,6.67,40.42
4203808, Canoinhas ,15.80,6.70,32.83,11.10,20.11,28.60,8.09,85.73,32.26,91.75,74.54,30.13,63.59,48.48,43.73,13.45
4203907, Capinzal ,46.39,26.29,0.59,21.13,19.22,7.12,17.44,46.43,0.00,81.67,82.46,41.92,52.06,26.55,38.92,22.42
4203956, Capivari de Baixo ,94.20,17.39,1.44,2.17,81.45,49.37,46.23,16.94,0.00,24.19,92.86,27.86,2.17,26.09,3.62,32.61
4204004, Catanduvas ,64.38,20.55,0.68,6.85,66.67,5.56,61.11,54.93,0.00,84.51,93.62,39.44,56.85,35.62,30.82,17.12
4204103, Caxambu do Sul ,23.09,30.30,1.56,30.30,94.59,38.74,57.66,88.56,40.00,72.73,79.32,38.83,76.77,22.37,54.69,12.84
4204152, Celso Ramos ,68.33,16.40,9.89,14.15,85.42,88.51,1.54,74.79,54.55,72.65,88.24,53.64,76.53,2.57,43.73,36.50
4204178, Cerro Negro ,49.84,23.15,13.86,3.54,23.02,31.83,2.93,91.05,0.00,77.86,75.28,58.85,79.58,33.60,40.03,13.83
4204194, Chapadao do Lageado ,4.82,3.08,1.81,0.00,63.35,25.09,53.91,97.90,2.17,98.66,64.23,28.82,64.74,32.76,45.09,22.93
4204202, Chapeco ,58.54,28.09,27.32,12.44,30.61,34.79,14.83,64.00,33.33,69.38,73.87,45.07,49.13,21.66,33.17,31.44
4204251, Cocal do Sul ,63.21,15.57,14.94,5.19,67.55,57.09,17.87,55.71,8.33,62.38,78.57,51.18,13.68,7.08,7.55,39.62
4204301, Concordia ,23.32,42.56,8.16,40.14,3.27,5.88,5.88,78.14,17.86,90.13,82.34,37.21,78.81,31.73,52.99,19.02
4204350, Cordilheira Alta ,62.47,43.59,16.39,27.04,76.33,77.73,11.05,69.02,100.00,50.80,96.81,42.82,42.66,30.30,44.29,7.23
4204400, Coronel Freitas ,34.39,48.81,3.54,41.45,67.25,28.92,39.37,75.14,50.00,87.05,73.63,34.55,57.65,35.88,56.76,16.40
4204459, Coronel Martins ,12.18,52.14,12.40,72.44,73.38,71.63,10.88,94.64,.,88.45,49.69,59.06,78.63,7.26,67.74,26.28
4204509, Corupa,22.60,1.14,27.69,7.32,96.70,96.29,9.69,21.03,4.00,87.32,93.79,25.28,43.41,30.08,21.30,11.38
4204558, Correia Pinto ,78.45,28.45,1.30,1.26,14.36,5.69,10.03,44.38,0.00,64.42,84.29,54.22,19.25,2.09,11.30,25.10
4204608, Criciuma ,42.47,5.92,0.43,13.87,53.57,9.52,44.05,76.27,5.56,78.38,59.89,34.08,37.06,15.40,23.69,24.70
4204707, Cunha Pora,7.77,57.92,3.13,36.18,34.20,22.41,24.06,94.06,66.67,96.23,55.83,37.03,89.87,38.54,66.18,20.55
4204756, Cunhatai,25.59,54.62,42.39,22.43,70.05,88.44,29.10,91.51,0.00,93.10,89.5,33.94,74.41,31.93,63.59,17.41
4204806, Curitibanos ,46.14,21.98,15.17,9.38,76.54,74.02,24.30,65.67,3.28,73.59,80.99,42.39,41.13,12.34,37.28,41.00
4204905, Descanso ,9.47,47.28,15.00,35.93,33.68,43.91,4.06,91.08,46.15,95.07,68.31,34.69,74.77,22.80,65.20,17.07
4205001, Dionisio Cerqueira ,27.23,39.76,22.65,4.90,87.80,90.44,18.05,86.23,0.00,86.08,86.56,43.03,64.50,11.08,58.31,13.82
4205100, Dona Emma ,34.78,20.55,4.95,22.13,67.06,76.15,14.85,84.48,0.00,89.31,83.09,36.39,62.85,7.11,36.76,27.67
4205159, Doutor Pedrinho ,55.75,4.53,55.42,18.82,25.34,30.82,25.34,61.89,0.00,65.03,84.89,37.46,32.40,25.09,16.72,42.86
4205175, Entre Rios ,31.76,26.12,0.00,1.88,9.63,5.93,5.19,68.14,.,54.43,57.56,72.18,32.47,5.65,30.35,21.88
4205191, Ermo ,15.00,7.22,0.20,1.67,94.88,70.24,30.00,79.79,0.00,88.08,70.83,35.23,60.56,37.78,40.56,17.78
4205209, Erval Velho ,18.55,27.04,7.84,7.86,40.44,3.28,45.36,87.02,.,76.99,87.54,42.35,80.82,12.58,66.98,13.52
4205308, Faxinal dos Guedes ,22.01,46.65,8.87,39.71,78.46,80.06,12.22,95.35,0.00,90.47,74.48,40.14,79.67,35.89,37.56,29.90
4205357, Flor do Sertao ,10.77,26.54,2.21,70.38,93.18,90.82,10.82,79.80,0.00,86.87,81.25,48.66,65.00,23.85,42.69,18.85
4205407, Florianopolis ,99.79,14.79,25.91,7.29,83.70,82.96,6.30,43.10,3.77,48.10,80.47,34.03,14.58,2.50,1.67,59.58
4205431, Formosa do Sul ,38.07,73.86,29.76,2.79,86.49,32.43,54.05,93.75,0.00,75.85,77.36,48.25,65.74,3.81,60.41,16.50
4205456, Forquilhinha ,20.38,13.59,1.49,1.91,94.22,90.88,8.51,66.24,0.39,87.66,61.68,34.48,60.51,35.88,36.94,10.62
4205506, Fraiburgo ,34.45,26.40,3.04,10.93,20.72,13.75,19.72,70.22,14.29,81.01,89.13,48.14,55.24,8.19,27.62,16.69
4205555, Frei Rogerio ,9.48,17.97,9.25,25.82,39.73,47.88,13.24,98.25,0.00,95.03,78.95,43.57,73.53,16.67,54.25,26.14
4205605, Galvao ,17.56,50.38,11.36,42.75,23.58,44.32,6.53,89.36,.,89.01,90.36,43.97,67.94,27.48,55.73,18.32
4205704, Garopaba ,99.15,16.10,16.89,3.39,84.94,90.38,16.74,45.69,25.00,42.24,87.27,47.06,5.93,7.63,5.93,32.20
4205803, Garuva ,60.16,0.82,1.53,11.54,23.08,3.85,23.08,30.77,5.26,52.31,87.47,39.90,32.14,9.89,10.44,31.87
4205902, Gaspar ,64.18,7.98,0.43,5.32,16.55,2.88,14.39,46.90,0.54,45.90,94.7,40.07,29.26,7.45,11.35,31.21
4206009, Governador Celso Ramos ,91.94,9.68,1.05,3.23,48.50,10.53,39.10,15.63,0.00,28.13,56.06,42.86,30.65,22.58,8.06,62.90
4206108, Grao Para ,39.33,8.51,1.23,0.56,13.64,9.09,4.55,83.42,100.00,74.79,69.13,21.83,69.60,9.07,32.36,23.29
4206207, Gravatal ,83.35,19.29,0.24,8.61,35.54,9.46,73.57,24.39,0.00,38.12,93.28,45.12,42.14,6.77,6.43,52.01
4206306, Guabiruba ,55.56,14.81,1.41,0.00,17.14,2.86,14.29,88.57,0.00,91.43,47.22,47.22,18.52,7.41,0.00,14.81
4206405, Guaraciaba ,19.84,47.74,6.67,15.54,0.00,0.00,0.00,71.81,0.00,91.28,77.08,39.02,66.17,24.29,68.29,17.94
4206504, Guaramirim ,19.40,3.00,30.40,8.31,79.44,89.64,15.04,83.26,2.75,83.48,84.62,29.78,43.19,15.47,30.72,21.94
4206603, Guaruja do Sul ,26.16,37.03,2.46,29.49,11.35,0.26,13.19,88.29,5.26,85.99,63.5,48.30,53.66,20.18,45.45,29.49
4206652, Guatambu ,39.59,40.95,28.32,33.71,84.91,75.47,33.12,82.69,28.57,76.78,89.8,45.75,70.14,37.78,42.76,15.84
4206702, Herval dOeste ,26.41,7.26,6.59,2.82,64.57,52.26,18.59,78.74,0.00,82.68,94.89,24.61,69.56,33.27,54.23,8.47
4206751, Ibiam ,15.74,30.86,0.00,7.10,98.82,99.05,0.47,63.20,66.67,87.24,86.61,35.29,77.47,28.40,40.74,18.52
4206801, Ibicare,36.12,10.82,24.79,29.39,99.35,84.64,34.31,45.64,0.00,70.99,90.48,40.19,59.39,26.94,38.98,26.12
4206900, Ibirama ,28.20,6.89,0.54,5.25,93.89,93.33,7.50,76.62,21.88,76.95,75.32,30.57,41.64,10.16,13.44,27.21
4207007, Icara ,24.28,5.29,28.61,4.57,36.03,35.63,19.84,65.68,22.22,87.24,60.3,30.57,23.84,29.66,31.27,15.14
4207106, Ilhota ,58.48,10.71,1.55,5.36,28.92,6.66,26.17,32.92,0.00,68.33,81.89,23.46,13.84,10.71,10.71,25.00
4207205, Imarui,80.13,12.25,0.69,3.75,17.31,4.49,14.10,44.57,0.00,34.44,92.6,33.33,17.63,16.88,6.00,16.75
4207304, Imbituba ,95.50,16.22,0.35,2.70,47.71,13.14,40.86,45.54,0.00,35.71,89.72,38.39,12.61,11.71,6.31,20.72
4207403, Imbuia ,4.83,17.52,1.38,2.11,12.73,1.82,10.91,97.72,0.00,95.43,64.5,23.44,87.61,43.96,54.53,17.82
4207502, Indaial ,49.10,12.08,60.87,22.11,3.79,1.67,7.27,68.22,2.63,67.24,94.76,38.93,17.74,11.83,5.91,30.59
4207577, Iomere,72.11,11.57,3.47,0.00,15.73,4.87,21.72,65.93,0.00,71.61,94.48,32.62,24.04,35.01,17.51,7.72
4207601, Ipira ,30.57,37.29,2.51,18.14,94.95,91.92,3.03,77.23,33.33,90.06,84.5,50.35,70.43,18.14,47.14,15.29
4207650, Ipora do Oeste ,15.08,48.10,0.39,30.97,67.78,71.43,16.67,80.72,10.34,95.59,51.34,31.56,68.21,35.90,70.77,14.77
4207684, Ipuacu ,25.46,41.55,40.50,37.68,78.85,72.38,41.79,78.25,100.00,76.12,69.22,41.88,62.32,38.49,42.57,13.03
4207700, Ipumirim ,37.75,59.89,42.54,17.87,67.49,87.33,31.68,51.67,.,89.41,84.36,39.45,73.60,47.30,58.88,21.35
4207759, Iraceminha ,11.07,40.05,1.68,23.19,74.39,71.93,32.21,95.59,66.67,91.98,87.58,33.33,73.25,31.36,67.46,14.49
4207809, Irani ,20.76,47.58,29.67,38.41,69.63,83.95,21.49,85.69,0.00,87.35,79.09,35.69,63.84,32.70,59.17,19.55
4207858, Irati ,18.08,43.56,3.58,6.03,91.62,88.00,8.95,30.23,.,82.96,51.77,61.01,51.78,8.22,56.99,20.55
4207908, Irineopolis ,18.54,8.56,0.27,11.89,98.59,98.94,0.00,74.26,0.00,84.48,64.79,31.70,63.55,36.93,43.42,20.05
4208005, Ita,33.45,41.60,54.02,83.02,26.46,37.22,11.57,76.18,0.00,92.01,79.3,42.16,77.08,39.39,50.25,22.41
4208104, Itaiopolis ,22.36,9.84,2.68,18.76,58.49,45.18,20.67,88.22,36.36,82.64,82.61,34.48,56.90,0.05,39.89,18.06
4208203, Itajai,62.60,11.38,40.92,6.91,22.79,33.27,8.81,71.06,5.17,68.09,87.29,22.36,25.20,13.01,11.79,31.71
4208302, Itapema ,86.76,0.00,1.05,5.88,29.01,2.47,27.16,52.86,10.00,41.43,82.35,39.73,23.53,38.24,5.88,45.59
4208401, Itapiranga ,31.04,54.59,1.14,28.65,50.00,3.85,46.15,87.01,3.48,86.86,78.74,33.44,76.14,26.25,57.14,20.77
4208450, Itapoa ,76.92,23.08,12.23,30.77,39.65,65.79,35.57,56.25,0.00,68.75,75,50.00,46.15,7.69,7.69,30.77
4208500, Ituporanga ,6.96,14.06,0.00,3.41,41.67,0.00,41.67,94.29,0.56,94.29,71.99,21.83,52.26,37.79,57.55,17.33
4208609, Jabora ,11.66,52.70,64.01,44.71,22.98,34.14,13.96,91.33,100.00,94.03,73.91,34.34,72.79,49.03,70.84,16.20
4208708, Jacinto Machado ,26.85,3.27,0.53,5.89,95.87,92.93,7.47,28.28,0.00,82.87,71.5,34.72,72.12,19.64,26.38,18.90
4208807, Jaguaruna ,67.46,4.75,3.84,15.60,34.88,11.76,33.33,56.70,0.00,55.14,90.68,40.74,38.43,8.16,16.01,20.14
4208906, Jaragua do Sul ,52.54,7.13,0.28,7.13,25.53,0.30,25.23,47.27,4.27,57.97,92.88,42.52,24.03,11.96,9.06,22.83
4208955, Jardinopolis ,57.98,57.98,0.63,57.98,34.57,11.14,24.36,91.57,.,91.16,91.18,50.40,68.07,21.85,68.49,5.88
4209003, Joacaba ,22.99,37.09,1.57,1.95,89.04,72.81,26.75,61.43,33.33,87.35,92.24,31.45,75.92,40.56,61.39,25.16
4209102, Joinville ,73.39,1.90,2.38,6.49,91.20,86.57,11.34,66.01,0.34,50.81,93.39,33.72,24.11,7.56,5.65,39.11
4209151, Jose Boiteux ,36.67,2.96,0.46,1.11,43.02,0.20,43.02,49.70,25.00,74.65,80.94,28.32,46.11,6.48,31.85,29.63
4209177, Jupia ,20.80,37.92,32.27,14.98,54.11,27.78,58.45,77.21,0.00,92.88,58.59,44.51,60.55,3.98,63.91,19.27
4209201, Lacerdopolis ,34.96,7.08,37.50,0.00,83.19,91.59,15.36,71.62,.,79.48,99.13,18.34,62.39,34.51,43.36,2.21
4209300, Lages ,79.53,19.19,1.28,12.58,86.76,91.18,0.00,56.73,27.27,76.60,82.29,37.31,63.75,9.38,21.11,27.08
4209409, Laguna ,98.49,11.86,0.67,1.13,21.03,10.34,14.31,4.72,8.33,10.61,96.06,38.60,18.27,5.08,3.95,42.18
4209458, Lajeado Grande ,22.42,43.64,0.17,12.73,29.73,10.81,18.92,82.02,0.00,88.20,75.98,24.02,64.24,39.39,55.76,8.48
4209508, Laurentino ,26.64,40.48,3.21,41.52,93.59,85.90,12.18,81.57,13.21,90.78,89.31,26.53,29.07,57.79,38.75,17.65
4209607, Lauro Muller ,58.76,8.67,43.87,11.68,18.11,21.51,8.30,58.22,0.00,69.24,82.02,33.17,72.21,7.96,18.58,34.69
4209706, Lebon Regis ,45.54,13.37,14.77,8.33,51.28,5.13,47.44,88.11,5.56,64.01,87.58,41.41,50.97,5.04,24.42,25.58
4209805, Leoberto Leal ,2.82,1.63,14.03,39.67,21.09,32.78,6.05,95.73,0.00,98.86,84.31,27.56,72.66,12.33,38.48,6.84
4209854, Lindoia do Sul ,26.73,72.80,58.06,43.40,47.73,34.44,38.67,94.13,0.00,93.83,88.77,30.84,75.31,51.10,65.88,13.21
4209904, Lontras ,26.57,16.63,3.02,13.18,90.21,76.40,38.68,79.56,9.33,86.77,85.69,39.24,51.93,24.95,18.66,21.50
4210001, Luiz Alves ,39.40,2.98,33.21,12.40,34.07,25.49,25.00,57.21,1.67,74.42,87.52,17.79,56.83,12.09,14.76,26.37
4210035, Luzerna ,27.65,22.65,6.28,1.47,20.00,1.38,20.00,70.42,0.00,83.38,84.83,35.85,65.29,27.94,20.29,15.59
4210050, Macieira ,21.21,23.11,0.27,2.27,31.54,17.45,14.77,7.28,55.93,83.14,91.35,52.06,9.09,19.32,40.53,27.65
4210100, Mafra ,12.39,11.95,0.34,4.40,59.84,84.65,6.69,86.68,88.24,92.59,81.88,31.09,63.20,32.99,53.45,13.71
4210209, Major Gercino ,16.31,1.06,49.60,29.08,48.98,61.50,7.96,91.92,0.00,84.18,76.43,36.70,61.35,60.99,27.66,24.11
4210308, Major Vieira ,15.66,8.29,19.17,1.18,65.41,3.38,62.78,74.04,0.00,90.15,88.89,38.60,32.63,44.61,46.05,7.24
4210407, Maracaja ,30.25,4.62,13.49,1.68,21.19,28.88,8.53,81.22,3.95,79.04,60.47,28.88,34.03,28.15,34.87,15.13
4210506, Maravilha ,16.00,43.96,2.83,9.96,13.16,1.58,13.16,92.41,75.00,91.12,77.23,34.54,77.18,32.10,56.26,15.32
4210555, Marema ,21.55,41.09,35.29,30.75,81.02,84.49,21.30,44.93,0.00,89.57,70.43,31.21,72.41,35.63,67.53,14.08
4210605, Massaranduba ,26.84,2.26,2.66,6.65,98.70,92.51,10.10,84.34,2.30,80.36,88.11,30.95,38.95,13.66,27.55,26.13
4210704, Matos Costa ,79.89,8.38,0.31,29.61,19.95,1.97,17.98,77.62,0.00,60.95,90.14,48.42,45.25,5.03,18.44,58.66
4210803, Meleiro ,21.45,5.26,1.23,1.05,2.86,1.43,2.14,32.96,0.00,81.84,80.25,30.88,85.66,22.63,46.71,26.97
4210852, Mirim Doce ,20.74,43.14,2.00,35.79,20.29,17.23,20.29,29.65,0.00,78.55,81.33,25.63,59.53,10.70,38.13,59.87
4210902, Modelo ,24.26,49.33,7.34,35.58,46.56,56.28,1.62,92.44,0.00,91.88,77.03,42.74,66.85,22.91,51.75,10.78
4211009, Mondai ,25.62,46.60,16.71,37.73,94.24,90.20,31.70,90.53,0.00,84.59,94.75,40.25,70.94,19.41,53.10,13.10
4211058, Monte Carlo ,17.57,5.41,12.72,12.84,30.81,41.62,30.49,96.23,.,93.71,88.61,44.65,48.65,10.14,55.41,43.24
4211108, Monte Castelo ,57.23,4.29,5.45,12.24,40.26,38.31,10.39,58.99,50.00,67.77,83.36,44.74,28.14,14.79,21.30,38.63
4211207, Morro da Fumaca ,41.99,8.66,5.11,6.06,35.11,13.74,24.43,62.50,0.00,72.12,71.16,41.67,49.35,34.20,24.68,35.93
4211256, Morro Grande ,30.21,4.81,5.79,23.53,3.47,14.45,4.62,76.10,0.00,76.10,84.34,20.63,72.19,47.06,40.37,11.50
4211306, Navegantes ,71.83,4.23,8.37,14.08,53.52,16.90,54.58,52.94,0.00,66.18,88.71,41.18,36.62,15.49,11.27,25.35
4211405, Nova Erechim ,14.66,64.17,1.20,49.51,22.22,3.70,18.52,81.94,100.00,94.84,88.89,26.28,78.83,56.68,51.47,11.73
4211454, Nova Itaberaba ,13.17,32.27,9.42,28.80,96.24,95.11,6.77,70.51,0.00,87.08,83.43,45.45,58.90,38.64,51.09,15.63
4211504, Nova Trento ,60.63,0.45,14.55,6.04,60.63,49.53,25.16,81.26,0.00,75.16,95.14,34.20,49.44,12.30,5.37,40.27
4211603, Nova Veneza ,29.02,8.29,8.23,1.22,12.96,13.77,6.07,82.74,0.00,80.09,81.02,24.84,72.20,34.39,42.20,16.34
4211652, Novo Horizonte ,31.23,37.54,1.01,20.88,16.26,12.74,14.09,52.64,0.00,80.94,80.77,46.37,52.98,33.86,56.49,23.33
4211702, Orleans ,43.61,9.35,13.04,36.41,97.95,96.93,1.64,54.48,0.00,68.82,85.2,22.62,67.77,32.50,20.52,35.13
4211751, Otacilio Costa ,68.33,16.74,8.38,3.17,42.37,11.95,54.22,68.54,50.00,85.02,65.56,42.49,52.04,17.19,23.98,42.99
4211801, Ouro ,23.16,51.47,1.47,2.57,17.51,25.29,4.67,68.29,50.00,89.02,81.66,35.56,81.07,36.76,56.25,12.32
4211850, Ouro Verde ,23.56,24.47,24.82,16.92,94.16,96.11,1.42,93.85,.,83.69,72.47,43.08,74.32,19.03,41.99,8.76
4211876, Paial ,84.16,40.37,6.08,33.85,87.87,87.87,1.78,91.96,66.67,82.44,94.34,55.92,76.40,8.07,44.72,21.12
4211892, Painel ,77.38,11.48,9.12,6.89,63.37,51.16,24.42,30.89,0.00,62.83,81.57,39.04,65.57,11.80,17.70,38.03
4211900, Palhoca ,90.30,2.70,4.18,4.58,6.23,0.00,6.23,14.48,0.00,17.55,88.46,15.18,52.02,49.87,1.35,16.98
4212007, Palma Sola ,33.51,37.72,1.94,15.20,26.32,10.53,22.37,70.83,0.00,77.92,83.2,46.47,54.68,14.65,51.70,16.01
4212056, Palmeira ,64.21,10.70,16.81,1.00,83.79,65.48,44.41,90.94,.,85.57,91.95,54.64,79.93,36.45,22.74,33.11
